Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
7/21/2010,1094549407,631866.0318,24447670.47,,,,23486088,,49446664.73,1678650,9196773.108,12736576,2618513426,,900198541.5
7/22/2010,1072416450,929282.0458,29675439,,,,19802790.88,,50800269.15,1119719.969,11563968.85,10880652.29,3026541949,,1295778327
7/23/2010,1395580921,649674.0159,19373760.77,,,,28488120.37,,54554643,206795.9943,9980160.362,7516676.793,2702542841,,1359350069
7/26/2010,952287238.1,2452626.059,30453971.22,,,,33613437,,34845360,10690525.7,8695807.691,6525024.367,2687377665,,1528207984
7/27/2010,1081761701,947830.9771,21141384.15,,,,68179694.53,,32569147.76,446763.9878,9064301.288,8218140.23,2637266696,,1617381918
7/28/2010,752223682.4,1156596,13913342.72,,,,27180646.41,,33195328,1223107.967,5244336,7167600.198,1773994525,,957445260.9
7/29/2010,1210278253,1988015.097,16601252.34,,,,34093475.75,,64026643.4,1046474,8362380.604,7853184,2043033890,,1057734359
7/30/2010,1225618165,1217700,17076254,,,,11867064,,56836437,1431875,9713928.69,13623852,2247076189,,1311542487
8/2/2010,731345999.6,1179324,25356967.97,,,,33001489.43,,34707415.35,298808.9919,10081692.33,10213920,2956918609,,1086990620
8/3/2010,578772233.6,4096160.803,15880608.32,,,,25216108.55,,22377269.13,4729320.261,7441112.748,4472040,2544987933,,984961176.8
8/4/2010,779727696.7,1478010.965,21735599.56,,,,18893288,,22472912,1782648,8229255.726,4420824,2365214260,,852255797.9
8/5/2010,388156085.1,706589.0169,7200991.853,,,,21206024.46,,19205783.25,15440078.15,6248112.422,3007155,1839436240,,705164015
8/6/2010,802810258,1712636.918,17008440.35,,,,17997255.39,,38636595,1688609.954,8726112.591,8286187.492,2765985859,,971730125
8/9/2010,398861331.2,870642.0207,11968241.51,,,,18852801.41,,13353293,807253.9782,5330592.178,4670732.281,1144257273,,730718289.6
8/10/2010,899613137.7,3424752.082,14186044.58,,,,16293392.29,,41752255,1215117.067,11331743.61,8112975.236,2867640957,,1081041104
8/11/2010,988839277.5,1520729.074,30943848,,,,26670601.19,,35753086.67,467280.0264,16879980.65,16136616.86,3747327561,,2064407426
8/12/2010,1506521616,1450530.036,20814519,,,,26272061.18,,36020224.68,328072,7960612.908,10361040,1776978880,,1121564688
8/13/2010,669873347,712950.035,15160815.3,,,,14945459.33,,33254321.22,211101.9941,4966416.749,7231958.805,1166405436,,956857113.1
8/16/2010,600975986.2,1418100,20354486.4,,,,26660449.4,,24463083,1435816.04,4932224.723,6990913.806,1422807049,,850370959.4
