Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
3/16/2007,121.050003,56.740002,65.25,,,,70.089996,,61.369999,56.540001,,,110.319992,,73.25
3/19/2007,122.279999,57.299999,64.68,,,,70.739998,,60.220001,57.09,,,112.740005,,74.379997
3/20/2007,122.82,57.73,64.309998,,,,71.489998,,59.650002,57.5,,,113.480015,,75.010002
3/21/2007,124.290001,58.639999,63.43,,,,72.510002,,58.200001,58.279999,,,116.879997,,76.610001
3/22/2007,124.449997,58.700001,63.41,,,,72.339996,,57.959999,58.349998,,,116.379993,,76.32
3/23/2007,124.690002,58.740002,63.279999,,,,71.980003,,57.889999,58.290001,,,116.919994,,76.5
3/26/2007,124.360001,58.439999,63.419998,,,,71.910004,,58.080002,57.84,,,116.850002,,76.529999
3/27/2007,123.889999,58.200001,63.290001,,,,71.839996,,58.200001,57.450001,,,116.330006,,76.190002
3/28/2007,123,57.900002,63.849998,,,,71.239998,,59.139999,57.220001,,,114.249985,,75.519997
3/29/2007,123.300003,57.919998,63.560001,,,,71.599998,,58.779999,57.450001,,,116.52,,76.18
3/30/2007,123.589996,58,63.619999,,,,71.449997,,58.639999,56.799999,,,116.499985,,76.300003
4/2/2007,123.650002,58.07,63.450001,,,,71.739998,,58.59,56.470001,,,117.299995,,76.5
4/3/2007,124.989998,58.59,62.799999,,,,72.209999,,57.380001,56.849998,,,119.220005,,77.139999
4/4/2007,125.18,58.610001,62.77,,,,72.279999,,57.18,57.490002,,,119.970005,,77.459999
4/5/2007,125.459999,58.779999,62.599998,,,,72.300003,,56.900002,57.16,,,120.080006,,77.739998
4/9/2007,125.650002,58.82,62.610001,,,,72.260002,,56.91,57.209999,,,120.770016,,77.68
4/10/2007,125.589996,59.029999,62.59,,,,72.5,,56.900002,57.509998,,,121.340012,,78.260002
4/11/2007,124.900002,58.689999,63.009998,,,,71.949997,,57.57,56.860001,,,120.21999,,77.879997
4/12/2007,125.410004,58.860001,62.720001,,,,71.980003,,57.07,57.040001,,,122.229984,,78.400002
4/13/2007,126.150002,59.060001,62.470001,,,,72.480003,,56.560001,56.75,,,122.829987,,78.660004
4/16/2007,127.040001,59.700001,61.970001,,,,73.199997,,55.689999,57.34,,,124.290001,,79.489998
4/17/2007,127.75,59.82,61.740002,,,,73.279999,,55.25,57.029999,,,123.620007,,79.5
4/18/2007,128.039993,59.939999,61.529999,,,,73.599998,,54.959999,57.169998,,,122.700005,,79.470001
4/19/2007,128.229996,59.889999,61.529999,,,,73.510002,,54.869999,56.650002,,,121.709999,,79.169998
4/20/2007,129.570007,60.5,60.860001,,,,74.110001,,53.669998,56.939999,,,123.159988,,80.080002
4/23/2007,129.169998,60.259998,61.07,,,,73.75,,54.049999,56.450001,,,122.669998,,79.300003
4/24/2007,129.479996,60.200001,60.959999,,,,73.709999,,53.73,56.419998,,,122.649994,,79.25
4/25/2007,130.619995,60.799999,60.349998,,,,74.449997,,52.799999,56.549999,,,124.169998,,79.989998
4/26/2007,131.199997,60.669998,60.279999,,,,74.360001,,52.43,56.220001,,,123.839996,,79.620003
4/27/2007,131.229996,60.669998,60.240002,,,,74.150002,,52.360001,55.84,,,123.21999,,79.449997
